country,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AUT,1,2,99,1,EURO,1,1,86
AUT,1,99,99,1,EURO,1,1,3641
AUT,2,1,1,1,EURO,1,1,9893
AUT,2,2,1,1,EURO,1,1,33291
AUT,2,3,1,1,EURO,1,1,28672
AUT,2,1,2,1,EURO,1,1,10797
AUT,2,2,2,1,EURO,1,1,19451
AUT,2,3,2,1,EURO,1,1,17742
AUT,2,1,3,1,EURO,1,1,74822
AUT,2,2,3,1,EURO,1,1,100544
AUT,2,3,3,1,EURO,1,1,62857
AUT,2,1,99,1,EURO,1,1,16
AUT,2,2,99,1,EURO,1,1,117
AUT,2,99,99,1,EURO,1,1,2704
AUT,1,2,1,1,NOAM,1,1,114
AUT,1,3,1,1,NOAM,1,1,1024
AUT,1,2,2,1,NOAM,1,1,249
AUT,1,3,2,1,NOAM,1,1,233
AUT,1,1,3,1,NOAM,1,1,374
AUT,1,2,3,1,NOAM,1,1,1337
AUT,1,3,3,1,NOAM,1,1,1802
AUT,1,99,99,1,NOAM,1,1,258
AUT,2,2,1,1,NOAM,1,1,885
AUT,2,3,1,1,NOAM,1,1,1360
AUT,2,1,2,1,NOAM,1,1,192
AUT,2,2,2,1,NOAM,1,1,120
AUT,2,3,2,1,NOAM,1,1,207
AUT,2,1,3,1,NOAM,1,1,727
AUT,2,2,3,1,NOAM,1,1,980
AUT,2,3,3,1,NOAM,1,1,1312
AUT,1,99,99,1,OCEA,0,1,58
AUT,2,99,99,1,OCEA,0,1,65
AUT,1,3,1,1,OCEA,1,1,213
AUT,1,1,3,1,OCEA,1,1,111
AUT,1,2,3,1,OCEA,1,1,178
AUT,1,3,3,1,OCEA,1,1,253
AUT,1,99,99,1,OCEA,1,1,532
AUT,2,2,1,1,OCEA,1,1,208
AUT,2,1,3,1,OCEA,1,1,36
AUT,2,2,3,1,OCEA,1,1,268
AUT,2,3,3,1,OCEA,1,1,372
AUT,2,99,99,1,OCEA,1,1,337
AUT,1,1,1,1,SCAC,0,1,237
AUT,1,2,1,1,SCAC,0,1,425
AUT,1,3,1,1,SCAC,0,1,448
AUT,1,1,2,1,SCAC,0,1,306
AUT,1,2,2,1,SCAC,0,1,536
AUT,1,3,2,1,SCAC,0,1,296
AUT,1,1,3,1,SCAC,0,1,715
AUT,1,2,3,1,SCAC,0,1,1398
AUT,1,3,3,1,SCAC,0,1,234
AUT,1,99,99,1,SCAC,0,1,1943
AUT,2,1,1,1,SCAC,0,1,416
AUT,2,2,1,1,SCAC,0,1,1504
AUT,2,3,1,1,SCAC,0,1,690
AUT,2,1,2,1,SCAC,0,1,575
AUT,2,2,2,1,SCAC,0,1,926
AUT,2,3,2,1,SCAC,0,1,734
AUT,2,1,3,1,SCAC,0,1,1192
AUT,2,2,3,1,SCAC,0,1,2243
AUT,2,3,3,1,SCAC,0,1,798
AUT,2,99,99,1,SCAC,0,1,1949
AUT,1,1,1,1,SCAC,1,1,184
AUT,1,1,2,1,SCAC,1,1,93
AUT,1,1,3,1,SCAC,1,1,61
AUT,1,2,3,1,SCAC,1,1,68
AUT,1,99,99,1,SCAC,1,1,862
AUT,2,2,1,1,SCAC,1,1,88
AUT,2,3,1,1,SCAC,1,1,429
AUT,2,1,3,1,SCAC,1,1,189
AUT,2,2,3,1,SCAC,1,1,3
AUT,2,3,3,1,SCAC,1,1,382
AUT,2,99,99,1,SCAC,1,1,572
AUT,1,99,99,1,UNK,0,99,3732
AUT,2,99,99,1,UNK,0,99,1343
BEL,1,1,1,1,AFRI,0,1,13961
BEL,1,2,1,1,AFRI,0,1,8378
BEL,1,3,1,1,AFRI,0,1,7564
BEL,1,99,1,1,AFRI,0,1,24583
BEL,1,1,2,1,AFRI,0,1,18917
BEL,1,2,2,1,AFRI,0,1,11403
BEL,1,3,2,1,AFRI,0,1,6885
BEL,1,99,2,1,AFRI,0,1,14442
BEL,1,1,3,1,AFRI,0,1,52117
BEL,1,2,3,1,AFRI,0,1,33702
BEL,1,3,3,1,AFRI,0,1,32221
BEL,1,99,3,1,AFRI,0,1,8669
BEL,1,99,99,1,AFRI,0,1,30
BEL,2,1,1,1,AFRI,0,1,12512
BEL,2,2,1,1,AFRI,0,1,8689
BEL,2,3,1,1,AFRI,0,1,5513
BEL,2,99,1,1,AFRI,0,1,25204
BEL,2,1,2,1,AFRI,0,1,24046
BEL,2,2,2,1,AFRI,0,1,10172
BEL,2,3,2,1,AFRI,0,1,5593
BEL,2,99,2,1,AFRI,0,1,15002
BEL,2,1,3,1,AFRI,0,1,56062
BEL,2,2,3,1,AFRI,0,1,30111
BEL,2,3,3,1,AFRI,0,1,24252
BEL,2,99,3,1,AFRI,0,1,7510
BEL,2,99,99,1,AFRI,0,1,13
BEL,1,1,1,1,ASIA,0,1,8228
BEL,1,2,1,1,ASIA,0,1,3355
BEL,1,3,1,1,ASIA,0,1,5882
BEL,1,99,1,1,ASIA,0,1,18293
BEL,1,1,2,1,ASIA,0,1,6551
BEL,1,2,2,1,ASIA,0,1,4464
BEL,1,3,2,1,ASIA,0,1,2766
BEL,1,99,2,1,ASIA,0,1,5614
BEL,1,1,3,1,ASIA,0,1,12661
BEL,1,2,3,1,ASIA,0,1,10112
BEL,1,3,3,1,ASIA,0,1,7492
BEL,1,99,3,1,ASIA,0,1,3864
BEL,1,99,99,1,ASIA,0,1,482
BEL,2,1,1,1,ASIA,0,1,6154
BEL,2,2,1,1,ASIA,0,1,3441
BEL,2,3,1,1,ASIA,0,1,5572
BEL,2,99,1,1,ASIA,0,1,11850
BEL,2,1,2,1,ASIA,0,1,4856
BEL,2,2,2,1,ASIA,0,1,3137
BEL,2,3,2,1,ASIA,0,1,3422
BEL,2,99,2,1,ASIA,0,1,5249
BEL,2,1,3,1,ASIA,0,1,11959
BEL,2,2,3,1,ASIA,0,1,10968
BEL,2,3,3,1,ASIA,0,1,6559
BEL,2,99,3,1,ASIA,0,1,2221
BEL,2,99,99,1,ASIA,0,1,150
BEL,1,1,1,1,ASIA,1,1,48
