country,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AUS,2,3,1,1,1,EURO,1,1,6598
AUS,2,3,2,1,1,EURO,1,1,579
AUS,2,3,3,1,1,EURO,1,1,1074
AUS,2,3,99,1,1,EURO,1,1,21
AUS,2,3,1,2,1,EURO,1,1,190841
AUS,2,3,2,2,1,EURO,1,1,7350
AUS,2,3,3,2,1,EURO,1,1,37712
AUS,2,3,99,2,1,EURO,1,1,316
AUS,2,3,1,3,1,EURO,1,1,10335
AUS,2,3,2,3,1,EURO,1,1,221
AUS,2,3,3,3,1,EURO,1,1,49058
AUS,2,3,99,3,1,EURO,1,1,367
AUS,2,99,1,1,1,EURO,1,1,1009
AUS,2,99,2,1,1,EURO,1,1,108
AUS,2,99,3,1,1,EURO,1,1,624
AUS,2,99,99,1,1,EURO,1,1,125
AUS,2,99,1,2,1,EURO,1,1,21530
AUS,2,99,2,2,1,EURO,1,1,1288
AUS,2,99,3,2,1,EURO,1,1,10699
AUS,2,99,99,2,1,EURO,1,1,1277
AUS,2,99,1,3,1,EURO,1,1,3639
AUS,2,99,2,3,1,EURO,1,1,75
AUS,2,99,3,3,1,EURO,1,1,50090
AUS,2,99,99,3,1,EURO,1,1,8597
AUS,1,2,1,1,1,NOAM,0,1,3
AUS,1,2,3,2,1,NOAM,0,1,4
AUS,1,3,1,2,1,NOAM,0,1,6
AUS,2,3,1,2,1,NOAM,0,1,17
AUS,2,3,3,3,1,NOAM,0,1,3
AUS,1,1,1,1,1,NOAM,1,1,284
AUS,1,1,2,1,1,NOAM,1,1,121
AUS,1,1,3,1,1,NOAM,1,1,1050
AUS,1,1,1,2,1,NOAM,1,1,576
AUS,1,1,2,2,1,NOAM,1,1,72
AUS,1,1,3,2,1,NOAM,1,1,271
AUS,1,1,1,3,1,NOAM,1,1,46
AUS,1,1,3,3,1,NOAM,1,1,299
AUS,1,2,1,1,1,NOAM,1,1,1938
AUS,1,2,2,1,1,NOAM,1,1,450
AUS,1,2,3,1,1,NOAM,1,1,1551
AUS,1,2,99,1,1,NOAM,1,1,4
AUS,1,2,1,2,1,NOAM,1,1,9089
AUS,1,2,2,2,1,NOAM,1,1,671
AUS,1,2,3,2,1,NOAM,1,1,1613
AUS,1,2,99,2,1,NOAM,1,1,17
AUS,1,2,1,3,1,NOAM,1,1,457
AUS,1,2,2,3,1,NOAM,1,1,15
AUS,1,2,3,3,1,NOAM,1,1,1675
AUS,1,2,99,3,1,NOAM,1,1,16
AUS,1,3,1,1,1,NOAM,1,1,644
