coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AGO,1,1,3,2,1,AFRI,0,1,6569
AGO,1,1,99,2,1,AFRI,0,1,2
AGO,1,1,1,3,1,AFRI,0,1,669
AGO,1,1,2,3,1,AFRI,0,1,11
AGO,1,1,3,3,1,AFRI,0,1,2528
AGO,1,1,1,99,1,AFRI,0,1,1029
AGO,1,1,2,99,1,AFRI,0,1,163
AGO,1,1,3,99,1,AFRI,0,1,481
AGO,1,2,1,1,1,AFRI,0,1,575
AGO,1,2,2,1,1,AFRI,0,1,619
AGO,1,2,3,1,1,AFRI,0,1,1000
AGO,1,2,99,1,1,AFRI,0,1,1
AGO,1,2,1,2,1,AFRI,0,1,20803
AGO,1,2,2,2,1,AFRI,0,1,3824
AGO,1,2,3,2,1,AFRI,0,1,3960
AGO,1,2,99,2,1,AFRI,0,1,2
AGO,1,2,1,3,1,AFRI,0,1,239
AGO,1,2,2,3,1,AFRI,0,1,23
AGO,1,2,3,3,1,AFRI,0,1,669
AGO,1,2,1,99,1,AFRI,0,1,3525
AGO,1,2,2,99,1,AFRI,0,1,388
AGO,1,2,3,99,1,AFRI,0,1,1319
AGO,1,2,1,1564,1,AFRI,0,1,51
AGO,1,3,1,1,1,AFRI,0,1,89
AGO,1,3,2,1,1,AFRI,0,1,16
AGO,1,3,3,1,1,AFRI,0,1,61
AGO,1,3,1,2,1,AFRI,0,1,13702
AGO,1,3,2,2,1,AFRI,0,1,1794
AGO,1,3,3,2,1,AFRI,0,1,1254
AGO,1,3,99,2,1,AFRI,0,1,1
AGO,1,3,1,3,1,AFRI,0,1,406
AGO,1,3,2,3,1,AFRI,0,1,10
AGO,1,3,3,3,1,AFRI,0,1,715
AGO,1,3,1,99,1,AFRI,0,1,3454
AGO,1,3,2,99,1,AFRI,0,1,100
AGO,1,3,3,99,1,AFRI,0,1,210
AGO,1,99,1,1,1,AFRI,0,1,113
AGO,1,99,3,1,1,AFRI,0,1,78
AGO,1,99,99,1,1,AFRI,0,1,2
AGO,1,99,1,2,1,AFRI,0,1,569
AGO,1,99,2,2,1,AFRI,0,1,116
AGO,1,99,3,2,1,AFRI,0,1,525
AGO,1,99,99,2,1,AFRI,0,1,35
AGO,1,99,1,3,1,AFRI,0,1,1
