coub,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AUT,1,99,1,1,EURO,1,1,1089
AUT,1,1,2,1,EURO,1,1,1292
AUT,1,2,2,1,EURO,1,1,6267
AUT,1,3,2,1,EURO,1,1,9569
AUT,1,99,2,1,EURO,1,1,170
AUT,1,1,3,1,EURO,1,1,18893
AUT,1,2,3,1,EURO,1,1,66411
AUT,1,3,3,1,EURO,1,1,59790
AUT,1,99,3,1,EURO,1,1,1967
AUT,1,1,99,1,EURO,1,1,609
AUT,1,2,99,1,EURO,1,1,1171
AUT,1,3,99,1,EURO,1,1,725
AUT,1,99,99,1,EURO,1,1,1540
AUT,2,1,1,1,EURO,1,1,3660
AUT,2,2,1,1,EURO,1,1,14204
AUT,2,3,1,1,EURO,1,1,12767
AUT,2,99,1,1,EURO,1,1,1576
AUT,2,1,2,1,EURO,1,1,2069
AUT,2,2,2,1,EURO,1,1,6337
AUT,2,3,2,1,EURO,1,1,8997
AUT,2,99,2,1,EURO,1,1,167
AUT,2,1,3,1,EURO,1,1,47462
AUT,2,2,3,1,EURO,1,1,84167
AUT,2,3,3,1,EURO,1,1,47996
AUT,2,99,3,1,EURO,1,1,2306
AUT,2,1,99,1,EURO,1,1,1017
AUT,2,2,99,1,EURO,1,1,1104
AUT,2,3,99,1,EURO,1,1,829
AUT,2,99,99,1,EURO,1,1,540
BDI,1,1,1,1,AFRI,0,1,793
BDI,1,2,1,1,AFRI,0,1,915
BDI,1,3,1,1,AFRI,0,1,1457
BDI,1,99,1,1,AFRI,0,1,323
BDI,1,1,2,1,AFRI,0,1,869
BDI,1,2,2,1,AFRI,0,1,1070
BDI,1,3,2,1,AFRI,0,1,1634
BDI,1,99,2,1,AFRI,0,1,208
BDI,1,1,3,1,AFRI,0,1,1534
BDI,1,2,3,1,AFRI,0,1,2418
BDI,1,3,3,1,AFRI,0,1,3836
BDI,1,99,3,1,AFRI,0,1,149
BDI,1,1,99,1,AFRI,0,1,132
BDI,1,2,99,1,AFRI,0,1,448
BDI,1,3,99,1,AFRI,0,1,278
BDI,1,99,99,1,AFRI,0,1,60
BDI,2,1,1,1,AFRI,0,1,836
BDI,2,2,1,1,AFRI,0,1,806
BDI,2,3,1,1,AFRI,0,1,1154
BDI,2,99,1,1,AFRI,0,1,375
BDI,2,1,2,1,AFRI,0,1,1136
BDI,2,2,2,1,AFRI,0,1,1495
BDI,2,3,2,1,AFRI,0,1,1318
BDI,2,99,2,1,AFRI,0,1,322
BDI,2,1,3,1,AFRI,0,1,2229
BDI,2,2,3,1,AFRI,0,1,2642
BDI,2,3,3,1,AFRI,0,1,3760
BDI,2,99,3,1,AFRI,0,1,223
BDI,2,1,99,1,AFRI,0,1,124
BDI,2,2,99,1,AFRI,0,1,172
BDI,2,3,99,1,AFRI,0,1,205
BDI,2,99,99,1,AFRI,0,1,53
BEL,1,1,0,1,EURO,1,0,1133820
BEL,1,2,0,1,EURO,1,0,1417113
BEL,1,3,0,1,EURO,1,0,1041342
BEL,1,99,0,1,EURO,1,0,157700
BEL,2,1,0,1,EURO,1,0,1252058
BEL,2,2,0,1,EURO,1,0,1310959
BEL,2,3,0,1,EURO,1,0,1208075
BEL,2,99,0,1,EURO,1,0,160332
BEL,1,1,1,1,EURO,1,1,4173
BEL,1,2,1,1,EURO,1,1,13064
BEL,1,3,1,1,EURO,1,1,15874
BEL,1,99,1,1,EURO,1,1,855
BEL,1,1,2,1,EURO,1,1,2599
BEL,1,2,2,1,EURO,1,1,6089
BEL,1,3,2,1,EURO,1,1,10562
BEL,1,99,2,1,EURO,1,1,293
BEL,1,1,3,1,EURO,1,1,28368
BEL,1,2,3,1,EURO,1,1,52783
BEL,1,3,3,1,EURO,1,1,64114
BEL,1,99,3,1,EURO,1,1,3113
BEL,1,1,99,1,EURO,1,1,3159
BEL,1,2,99,1,EURO,1,1,4324
BEL,1,3,99,1,EURO,1,1,4281
BEL,1,99,99,1,EURO,1,1,1101
BEL,2,1,1,1,EURO,1,1,12311
BEL,2,2,1,1,EURO,1,1,10393
BEL,2,3,1,1,EURO,1,1,14616
BEL,2,99,1,1,EURO,1,1,419
